NAME,R,MSINI,A,PER,ECC,MASS
,rearth,mjupiter,au,day,,mearth
WASP-94 A b,19.27944685721453,0.418542,0.0532427,3.9501907,0,133.05392437481171
Kepler-236 b,1.5699970950596571,,0.0801996,8.295611,,3.72782994375816
HD 202206 b,,16.8244,0.811776,255.87,0.435,5347.073797328512
WASP-5 b,12.778238033270094,1.62047,0.0271923,1.6284229,0,516.2072747815607
Kepler-78 b,1.1589637716561358,0.00593365,0.00914662,0.35500744,,1.8592271768605
Kepler-55 f,1.5899939166836519,,0.0920376,10.198545,,3.7680337451039465
Kepler-314 c,2.899998703689186,,0.0643363,5.960392,,8.007389524957317
GJ 273 b,,0.00910315,0.0911013,18.64968369,0.104999,2.8931322863312245
CoRoT-2 b,16.432365751556105,3.27343,0.0280884,1.7429935,0.0143,1040.9352129155368
Kepler-447 b,18.494818206048823,1.36628,0.0769686,7.79430132,0.123,435.4087576579291
Kepler-187 c,2.6699904190903245,,0.0946763,10.640263,,6.931040007030229
Kepler-257 c,5.409992131826093,,0.0687315,6.581484,,31.000722165310833
Kepler-424 c,,7.03702,0.724323,223.3,0.319,2236.481850959124
K2-8 b,3.6784287885106846,,0.0859362,10.35239,,13.319281023400624
Kepler-522 b,6.904732130258227,,0.25806,38.58422849,0,43.24403505071808
WASP-133 b,13.817198457220801,1.19752,0.034546,2.176423,0,381.1129677613739
HAT-P-66 b,18.29103893636036,0.769884,0.0436462,2.972086,0,245.22094104649997
HD 108874 c,,1.02837,2.72021,1680.3835,0.273039,326.8330686953902
Kepler-1615 b,2.062452454492717,,0.259379,47.3126192,0,4.858780355528773
GJ 832 c,,0.016749,0.162542,35.68,0.18,5.323110424826755
Kepler-894 b,2.7798272212727926,,0.0855774,9.803224,0,7.4214628201265445
Kepler-1609 b,2.219378184725859,,0.487197,114.34219,0,5.3050902229587225
Kepler-289 b,2.4299949326601964,,0.207581,34.543901,,5.994466234809681
Kepler-1524 b,3.542037910976623,,0.353488,70.9674603,0,12.17339323089284
Kepler-346 c,3.0699941054546023,,0.162163,23.851549,,8.931790920960127
Kepler-1403 b,2.140915319609288,,0.0607809,5.19492202,0,5.0754359395400215
Kepler-953 b,4.214576754832944,,0.381801,88.40655258,0,18.53446092698604
Kepler-1479 b,1.8270638591430048,,0.116158,14.53261362,0,4.276158943456864
HD 200964 c,,0.945722,2.00121,825,0.181,300.56616139399415
HD 10180 h,,0.206033,3.42452,2248,0.151,
Kepler-328 c,,,0.352599,71.312,,
HD 33142 b,,1.41137,1.09038,326.6,0.12,448.5568308727528
Kepler-402 e,1.4599921581662252,,0.098218,11.242861,,3.4262219795119013
HAT-P-20 b,9.718186293723836,7.27817,0.03616,2.875317,0.015,2316.7337235110977
HD 7924 b,,0.0273647,0.0566417,5.39792,0.058,8.696956226775132
Kepler-834 b,2.0176165315689625,,0.0976622,13.32388301,0,4.74042544943256
Kepler-439 b,2.240013918251517,,0.594654,178.1396,0,5.367795440393693
Kepler-1060 b,2.376303914959,,0.253589,46.8779367,0,5.80787610223963
Kepler-1150 b,1.0200172465154198,,0.0353774,2.78786839,0,0.9948422697599677
CoRoT-5 b,15.558065254542889,0.461312,0.0496334,4.0378962,0.09,147.00194200060258
WASP-127 b,15.107127959737225,0.204009,0.0555523,4.178062,0,64.85397554484283
Kepler-1184 b,2.6789463946943446,,0.282775,53.5991044,0,6.969464035352013
WASP-47 b,12.89032784057948,1.1233,0.0509676,4.1591409,0,357.03835944561615
Kepler-194 d,2.3999997002242046,,0.275493,52.814973,,5.8892689364266335
OGLE-2011-BLG-0251 b,,,,,,168.44280405744703
Kepler-1566 b,0.7846286511657077,,0.0122438,0.53991524,0,0.39198865220447926
K2-24 b,5.820812484595725,0.0723532,0.154139,20.8851,0.24,22.9970193130461
Kepler-36 b,1.484674333735752,,0.115423,13.83989,0,4.461477809581199
Kepler-161 b,2.1199993615653563,,0.0566234,4.921355,,5.016449176458772
Kepler-943 b,5.929550806666562,,0.258472,49.7701438,0,37.446424425027615
HD 109271 c,,0.0771544,0.195818,30.93,0.15,24.520949964848846
Kepler-899 b,2.6789463946943446,,0.136873,19.17891293,0,6.969464035352013
HAT-P-35 b,14.930362333610322,1.05305,0.0497734,3.646706,0.025,335.0486281008336
HD 99109 b,,0.504198,1.10806,439.3,0.09,160.2424998493522
Kepler-1347 b,1.0312262272463586,,0.106453,14.00947528,0,1.0345312081952394
Kepler-649 b,2.2642141076496136,,0.186659,29.90722674,0,5.442609470724114
Kepler-66 b,2.8510154578949845,,0.135169,17.815815,,7.762098664256301
Kepler-778 b,1.6813471096408021,,0.044079,3.75574426,0,3.956403650698001
Kepler-253 c,2.6499935974663296,,0.0925387,10.281951,,6.846119408456362
Kepler-744 b,1.6253022059861084,,0.100833,12.06222443,0,3.8398920809480765
Kepler-5 b,16.040051425973253,2.11222,0.0506416,3.54846,0,672.7001742492719
Kepler-161 c,2.0499992769006443,,0.0720527,7.06424,,4.825536737973285
HD 10647 b,,0.925037,2.02175,1003,0.16,293.9921247865823
Kepler-675 b,2.4435577993446325,,0.0318646,2.33743801,0,6.042837923069197
Kepler-758 d,2.1184973581474105,,0.154009,20.4966197,0,5.012253997187908
Kepler-331 b,1.8200022012825134,,0.0812396,8.457496,,4.260013859596263
Kepler-28 c,3.396960073376084,,0.0768547,8.98597,0,11.062592392286835
Kepler-600 b,2.903126009313118,,0.152252,23.67517607,0,8.02334391885106
HATS-9 b,11.937564478449694,0.832409,0.0304899,1.9153073,0,266.0125037661946
Kepler-782 b,3.205768489048462,,0.569779,158.6853308,0,9.757256005825047
Kepler-121 b,2.33999802637149,,0.0422983,3.177422,,5.6860887767399815
Kepler-1407 b,2.2530051269186746,,0.149206,20.0711504,0,5.40777677011148
Kepler-816 b,10.245008388077954,,0.0906432,10.50682565,0,279.6938732549965
Kepler-1205 b,1.4123315720982736,,0.0194186,1.07839035,0,3.068490779853369
Kepler-1585 b,1.793436916950189,,0.0448876,3.5827463,0,4.199978301697299
Kepler-621 b,2.2978410498424293,,0.0334052,2.62811375,0,5.548887345586019
Kepler-412 b,14.851899468493752,0.928529,0.0295963,1.720861232,0.0038,298.87188103846535
HD 111591 b,,4.44725,2.53363,1056.4,0.26,1413.4099251782666
upsilon And c,,1.91855,0.830445,241.33335,0.223848,609.7470598573867
Kepler-170 c,2.859993851460466,,0.12769,16.665863,,7.806370518228382
Kepler-122 b,2.33999802637149,,0.0629312,5.766193,,5.6860887767399815
WASP-12 b,20.06407550838024,1.34899,0.0225329,1.09142245,0.049,432.43081600883795
Kepler-148 b,1.799994170677788,,0.0281967,1.729366,,4.214693210806467
HD 170469 b,,0.668676,2.23538,1145,0.11,212.5163404639952
Kepler-285 b,1.3400000194415265,,0.0373252,2.633867,,2.57196906598373
HATS-27 b,17.370333259121054,0.527536,0.0611041,4.637038,0,167.84594446118305
HD 88133 b,,0.296108,0.0469104,3.41587,0.133,94.10804117706135
